"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Lightweight fog based solution for privacy-preserving in IoT using blockchain","A. H. Alkhazaali; O. ATA","Electrical and Computer Engineering Department, Altinbas university, Istanbul, Turkey; Altinbas university, Istanbul, Turkey","2020 International Congress on Human-Computer Interaction, Optimization and Robotic Applications (HORA)","30 Jul 2020","2020","","","1","10","Internet of things (IoT) mainly depends on clouds to process and store their data. Clouds cannot handle the volume and velocity of data generated by IoT. IoT is delay-sensitive and resources limited. Fog computing proposed endorsing the internet of things (IoT) demands. Fog computing extends the cloud computing service to the edge of the network. Fog utilization reduces response time and network overhead while maintaining security aspects. isolation and operating system (OS) dependency achieved by using virtualization. Blockchain proposed to solve the security and privacy of fog computing. Blockchain is a decentralized, immutable ledger. fog computing with blockchain proposed as an IoT infrastructure. Fog computing adopted with lightweight blockchain in this proposed work. This adaptation endorses the IoT demands for low response time with limited resources. This paper explores system applicability. Varies from other papers that focus on one factor such as privacy or security-applicability of the proposed model achieved by concentration different IoT needs and limits. Response time and ram usage with 1000 transactions did not encroach 100s and 300MiB in the proposed model.","","978-1-7281-9352-6","10.1109/HORA49412.2020.9152923","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9152923","Lightweight Blockchain;IoT;Fog computing;RAFT consensus","Cloud computing;Edge computing;Time factors;Privacy;Internet of Things","","14","","80","IEEE","30 Jul 2020","26-28 June 2020","26-28 June 2020","IEEE","IEEE Conferences"
"~PB&J~ - Easy Automation of Data Science/Machine Learning Workflows","B. Ramanan; L. Drabeck; T. Woo; T. Cauble; A. Rana","Nokia Bell Labs, Murray Hill, NJ, USA; Nokia Bell Labs, Murray Hill, NJ, USA; Nokia Bell Labs, Murray Hill, NJ, USA; Nokia Bell Labs, Murray Hill, NJ, USA; Nokia Bell Labs, Murray Hill, NJ, USA",2020 IEEE International Conference on Big Data (Big Data),"19 Mar 2021","2020","","","361","371","The ability to process large amounts of data efficiently is a must in modern Big Data, Data Science and Machine Learning (ML). Easy and succinct workflow expression with highly efficient scaling is key. Existing systems such as Apache Spark and Beam were created for this type of work but have steep learning curve and tremendous operating complexity. Having a simpler tool with less overhead that is well-matched to the typical workflow definition and execution requirements of data science/ML projects will be beneficial.We propose a new framework PB&J that enables succinct definition and data-parallel scale-out execution of workflows with ease. PB&J is easy to learn as it builds on the native Unix shell, with the addition of just a few operators. PB&J supports Maximal Parallelism with its ability to do true pipelining, and fault recovery with Minimal Redo. It is well-matched to the typical data science/ML processing requirements by leveraging the existing command line executables and Python modules. We illustrate the features and strengths of PB&J with real-life Deep Learning data processing workflows. We compare it to existing frameworks such as Apache Spark, Apache Beam, Swift/T and Apache Airflow in terms of ease of authoring, efficiency, scalability and fault recovery.","","978-1-7281-6251-5","10.1109/BigData50022.2020.9378128","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9378128","Big Data Processing;Distributed computing;Data Pipelines;Pipeline Specification;Workflow Management;Spark;Beam;Swift/T;Airflow;Parallelization;Workflow Specification;Data Parallel Execution","Cluster computing;Tools;Big Data;Data processing;Sparks;Task analysis;Pipeline processing","","4","","28","IEEE","19 Mar 2021","10-13 Dec. 2020","10-13 Dec. 2020","IEEE","IEEE Conferences"
"Integration of cross-organizational business processes with blockchain: identifying key activities for on-chain execution based on behavioral profiles","J. Lei; L. Wang","College of Mathematics and Big Data, Anhui University of Science＆Technology, Huainan, Anhui 232001, People's Republic of China; College of Mathematics and Big Data, Anhui University of Science＆Technology, Huainan, Anhui 232001, People's Republic of China",6th International Conference on Artificial Intelligence and Advanced Manufacturing (AIAM 2024),"27 Jan 2025","2024","2024","","566","575","Business Process Management (BPM) is widely applied within enterprises to standardize and streamline processes, and blockchain offers an effective solution for managing inter-organizational business processes. Lots of throughput and gas are required when deploying smart contracts for normative process execution and storing data on chains. However, a complete normative process on the chain requires a lot of gas and operation and maintenance costs, and also limits the flexibility of process execution and modification. To address these challenges, the paper proposes an improved approach about how to convert the full process into on-chain. Firstly, key activities of business processes suitable for on-chain implementation are identified by constructing a matrix of behavior profile, adapting frequency analysis, and executable sequence analysis. Secondly, these key activities are then converted into smart contracts and deployed on the blockchain. Finally, we enhance intelligent management in BPM by employing Intelligent Information Systems (IIS) for real-time monitoring, process prediction, and automated decision-making to implement an experiment. Experimental results show that the proposed method can be adapted to most business scenarios, improves the flexibility of BPM and blockchain integration, and reduces the application cost of blockchain in business processes. Meanwhile, it takes into account the security transparency of blockchain and the execution performance of business processes.","","978-1-83724-241-2","10.1049/icp.2024.4282","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10853513","","","","1","","","","27 Jan 2025","20-21 Oct. 2024","20-21 Oct. 2024","IET","IET Conferences"
"Practical Application of Large‐Scale Blockchain","H. Li; H. Wang","School of Electronic and Computer Engineering, Peking University Shenzhen Graduate School, Shenzhen, China; School of Electronic and Computer Engineering, Peking University Shenzhen Graduate School, Shenzhen, China",Principles and Applications of Blockchain Systems: How to Overcome the CAP Trilemma in Consortium Blockchain,"","2025","","","347","376","Summary <p>This final chapter presents an introduction to implementing large‐scale blockchains in practice. It covers constructing the optimized network topology for distributed nodes as well as operating the Peer‐to‐Peer (P2P) broadcast protocol. The Solidity smart contract development language is introduced through examples highlighting basic syntax. Establishing private blockchain infrastructure involving deployment and testing of contracts is demonstrated. Techniques for detecting smart contract vulnerabilities through security testing are also discussed. The chapter aims to equip readers with knowledge on building robust, efficient and secure blockchain networks while developing skills in infrastructure establishment and secure smart contract development.</p>","","9781394237241","10.1002/9781394237258.ch9","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10834027.pdf&bkn=10833935&pdfType=chapter","","Servers;Blockchains;Network topology;IP networks;Containers;Testing;Smart contracts;Security;Physical layer;Operating systems","","","","","","8 Jan 2025","","","IEEE","Wiley-IEEE Press eBook Chapters"
"Blockchain-Based Communicator with Multicast Transmission","P. B. Nair; V. A. G B; V. K. V; U. S","Department of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Bengaluru, India; Department of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Bengaluru, India; Department of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Bengaluru, India; Department of Computer Science and Engineering, Department of Computer Science and Engineering, Amrita Vishwa Vidyapeetham, Bengaluru, India",2024 8th International Conference on Computational System and Information Technology for Sustainable Solutions (CSITSS),"1 Jan 2025","2024","","","1","5","This paper examines the conceptualization and implementation of an instant messaging application, which is decentralized. The proposed work utilizes a blockchain with end-to-end encryption and digital signatures. The need for nodes dedicated to mining has been done away with, by introducing a new consensus mechanism called Proof of Message (PoM). The implementation demonstrates improved security over traditional centralized messaging systems while maintaining usability for small to medium-sized groups (50–100 users). When compared to conventional instant messaging applications which are centralized, the increase in latency has been found to be minimal, according to performance analysis.","2767-1097","979-8-3315-0546-2","10.1109/CSITSS64042.2024.10816739","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10816739","Blockchain;Block;Asymmetric Encryption;KeyPair;Hash;Serialization;Multicast","Scalability;Instant messaging;Encryption;Consensus protocol;Performance analysis;Usability;Information technology;Digital signatures","","2","","24","IEEE","1 Jan 2025","7-9 Nov. 2024","7-9 Nov. 2024","IEEE","IEEE Conferences"
"RingMo-Lite: A Remote Sensing Lightweight Network With CNN-Transformer Hybrid Framework","Y. Wang; T. Zhang; L. Zhao; L. Hu; Z. Wang; Z. Niu; P. Cheng; K. Chen; X. Zeng; Z. Wang; H. Wang; X. Sun","Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China; Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China; Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China; Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China; Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China; Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China; Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China; Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China; Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China; Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China; Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China; Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, China",IEEE Transactions on Geoscience and Remote Sensing,"15 Feb 2024","2024","62","","1","20","In recent years, remote sensing (RS) vision foundation models, such as RingMo, have emerged and achieved excellent performance in various downstream tasks. However, the high demand for computing resources limits the application of these models on edge devices. It is necessary to design a more lightweight foundation model to support on-orbit RS image interpretation. Existing methods face challenges in achieving lightweight solutions while retaining generalization in RS image interpretation. This is due to the complex high-frequency (H-F) and low-frequency (L-F) spectral components in RS images, which make traditional single convolutional neural network (CNN) or vision Transformer methods unsuitable for the task. Therefore, this article proposes RingMo-lite, an RS lightweight network with a CNN-Transformer hybrid framework, which effectively exploits the frequency-domain properties of RS to optimize the interpretation process on several tasks like classification, object detection, semantic segmentation, and change detection. It is combined by the Transformer module as a low-pass filter to extract global features of RS images through a dual-branch structure and the CNN module as a stacked high-pass filter to extract fine-grained details effectively. Furthermore, a novelty-designed frequency-domain masked image modeling (FD-MIM) is employed during the pretraining stage for self-supervised learning, which combines the H-F and L-F characteristics of each image patch. This approach effectively captures the latent feature representation in RS data. Compared with RingMo, the proposed RingMo-lite reduces the parameters by over 60% in various RS image interpretation tasks, and the average accuracy drops by less than 2% in most of the scenes and achieves state-of-the-art (SOTA) performance compared to models of similar size. In addition, our work will be integrated into the MindSpore computing platform in the near future.","1558-0644","","10.1109/TGRS.2024.3360447","National Key Research and Development Program of China(grant numbers:2022ZD0118402); National Nature Science Foundation of China(grant numbers:62331027,62076241); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10424413","Convolutional neural network (CNN)-Transformer hybrid framework;lightweight foundation model;masked image modeling (MIM);remote sensing (RS) frequency-domain features","Computational modeling;Task analysis;Feature extraction;Transformers;Frequency-domain analysis;Adaptation models;Data mining","","31","","85","IEEE","7 Feb 2024","2024","","IEEE","IEEE Journals"
"Monitoring Anomalous States of Computer Systems by Intellectual Analysis of Data of System Journals","O. I. Sheluhin; D. V. Kostin; M. G. Gorodnichev","Moscow Technical University of Communications and Informatics, Moscow, Russia; Moscow Technical University of Communications and Informatics, Moscow, Russia; Moscow Technical University of Communications and Informatics, Moscow, Russia",2020 Systems of Signals Generating and Processing in the Field of on Board Communications,"27 Apr 2020","2020","","","1","6","The ways and algorithms for automating the control of computer systems by intelligently analyzing unstructured data from system logs in order to detect and diagnose abnormal states are analyzed. This information is needed by the technical support service to localize the problem and accurately diagnose it. Because of the ever-increasing size of logs, intelligent analysis data models are being used to help developers extract system information. The research was conducted on a network infrastructure consisting of 6 hosts that make up a cluster under Rancher management. Expertly, events that significantly affect the system and are abnormal, related to problems with the passage of traffic on the network, or denial of service. Of the 988 message templates, 81 patterns are marked as abnormal.","","978-1-7281-4772-7","10.1109/IEEECONF48371.2020.9078632","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9078632","Unstructured data;parsing logs;pattern;trait matrix;machine learning;tree decision-making;cross-validation","Big Data;Control systems;Boosting;Data models;Classification algorithms;Data mining;Random forests","","17","","30","IEEE","27 Apr 2020","19-20 March 2020","19-20 March 2020","IEEE","IEEE Conferences"
"A Microservice Based Architecture Topology for Machine Learning Deployment","J. L. Ribeiro; M. Figueredo; A. Araujo; N. Cacho; F. Lopes","Department of Informatics and Applied Mathematics, Federal University of Rio Grande do Norte, Natal, Brazil; Department of Informatics and Applied Mathematics, Federal University of Rio Grande do Norte, Natal, Brazil; Department of Informatics and Applied Mathematics, Federal University of Rio Grande do Norte, Natal, Brazil; Department of Informatics and Applied Mathematics, Federal University of Rio Grande do Norte, Natal, Brazil; Department of Informatics and Applied Mathematics, Federal University of Rio Grande do Norte, Natal, Brazil",2019 IEEE International Smart Cities Conference (ISC2),"20 Apr 2020","2019","","","426","431","Smart solutions that make use of machine learning and data analyses are on the rise. Big Data analysis is attracting more and more developers and researchers, and at least five requirements (Velocity, Volume, Value, Variety, and Veracity) show challenges in deploying such solutions. Across the globe, many Smart City initiatives are using Big Data Analytics as a tool for doing predictive analytics which can be helpful to human well being. This work presents a generic architecture named Machine Learning in Microservices Architecture (MLMA) that provides design patterns to transform a monolithic architecture of machine learning pipelines in microservices with separate roles. We present two case studies deployed to a Smart City initiative, where we discuss how each component of the architecture applied in specific applications that use predictions with machine learning. Among the benefits of this architecture, we argue prediction performance, scalability, code maintenance and reusability makes such transition a natural trend in Big Data and machine learning applications.","2687-8860","978-1-7281-0846-9","10.1109/ISC246665.2019.9071708","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9071708","microservices;machine learning;design patterns;recommendation systems;predictive policing","Feature extraction;Machine learning;Computer architecture;Smart cities;Data mining;Monitoring;Containers","","13","","21","IEEE","20 Apr 2020","14-17 Oct. 2019","14-17 Oct. 2019","IEEE","IEEE Conferences"
"Enhancing DataRaceBench for Evaluating Data Race Detection Tools","G. Verma; Y. Shi; C. Liao; B. Chapman; Y. Yan","Lawrence Livermore National Laboratory, Livermore, California, USA; Lawrence Livermore National Laboratory, Livermore, California, USA; Lawrence Livermore National Laboratory, Livermore, California, USA; Brookhaven National Laboratory, Upton, New York, USA; University of North Carolina at Charlotte, Charlotte, North Carolina, USA",2020 IEEE/ACM 4th International Workshop on Software Correctness for HPC Applications (Correctness),"22 Dec 2020","2020","","","20","30","DataRaceBench is a dedicated benchmark suite to evaluate tools aimed to find data race bugs in OpenMP programs. Since its initial release in 2017, DataRaceBench has been widely used by tool developers to find the strengths and limitations of their tools. The results also provide an apple-to-apple comparison of the state-of-the-art of data race detection tools. In this paper, we discuss our latest efforts to enhance DataRaceBench. In particular, we have added support for Fortran language and some of the newest OpenMP 5.0 language features. We have also added new kernels representing new patterns from literature and other benchmarks (e.g., NAS Parallel Benchmark). To reduce duplicated code patterns in the benchmark suite, we have designed a distance-based code similarity analysis, combining both static and dynamic code features. Finally, we dockerize tools and streamline the entire benchmarking process to quickly generate a dashboard showing the state-of-the-art of data race detection of OpenMP programs. The enhanced DataRaceBench is released as v 1.3.0, with 222 newly added benchmarks. 56 of them are in C, and the remaining 166 are in Fortran, reproducing the C programs’ nature. Our experiments show that this new version can spot more limitations of the current data race detection tools, with significantly reduced user efforts needed to run experiments.","","978-0-7381-1044-8","10.1109/Correctness51934.2020.00008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9296942","Benchmarks;OpenMP;Data Races;Tools","Tools;Benchmark testing;Kernel;Arrays;Reactive power;Data mining;Task analysis","","11","","31","IEEE","22 Dec 2020","11-11 Nov. 2020","11-11 Nov. 2020","IEEE","IEEE Conferences"
"Skluma: An Extensible Metadata Extraction Pipeline for Disorganized Data","T. J. Skluzacek; R. Kumar; R. Chard; G. Harrison; P. Beckman; K. Chard; I. T. Foster","Department of Computer Science, University of Chicago, Chicago, IL, USA; Department of Computer Science, University of Chicago, Chicago, IL, USA; Data Science and Learning Division, Argonne National Laboratory, Argonne, IL, USA; Department of Computer Science, University of Chicago, Chicago, IL, USA; Department of Computer Science, University of Chicago, Chicago, IL, USA; Data Science and Learning Division, Argonne National Laboratory, Argonne, IL, USA; Department of Computer Science, University of Chicago, Chicago, IL, US",2018 IEEE 14th International Conference on e-Science (e-Science),"27 Dec 2018","2018","","","256","266","To mitigate the effects of high-velocity data expansion and to automate the organization of filesystems and data repositories, we have developed Skluma-a system that automatically processes a target filesystem or repository, extracts content-and context-based metadata, and organizes extracted metadata for subsequent use. Skluma is able to extract diverse metadata, including aggregate values derived from embedded structured data; named entities and latent topics buried within free-text documents; and content encoded in images. Skluma implements an overarching probabilistic pipeline to extract increasingly specific metadata from files. It applies machine learning methods to determine file types, dynamically prioritizes and then executes a suite of metadata extractors, and explores contextual metadata based on relationships among files. The derived metadata, represented in JSON, describes probabilistic knowledge of each file that may be subsequently used for discovery or organization. Skluma's architecture enables it to be deployed both locally and used as an on-demand, cloud-hosted service to create and execute dynamic extraction workflows on massive numbers of files. It is modular and extensible-allowing users to contribute their own specialized metadata extractors. Thus far we have tested Skluma on local filesystems, remote FTP-accessible servers, and publicly-accessible Globus endpoints. We have demonstrated its efficacy by applying it to a scientific environmental data repository of more than 500,000 files. We show that we can extract metadata from those files with modest cloud costs in a few hours.","","978-1-5386-9156-4","10.1109/eScience.2018.00040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8588659","Metadata extraction;data swamp;scientific repository","Metadata;Data mining;Crawlers;Containers;Pipelines;Null value","","9","1","38","IEEE","27 Dec 2018","29 Oct.-1 Nov. 2018","29 Oct.-1 Nov. 2018","IEEE","IEEE Conferences"
"IOSPReD: I/O Specialized Packaging of Reduced Datasets and Data-Intensive Applications for Efficient Reproducibility","C. Niddodi; A. Gehani; T. Malik; S. Mohan; M. L. Rilee","Department of Computer Science, University of Illinois at Urbana–Champaign, Champaign, IL, USA; SRI International, Menlo Park, CA, USA; School of Computing, DePaul University, Chicago, IL, USA; Department of Computer Science, The George Washington University, Washington, DC, USA; Rilee Systems Technologies LLC, Herndon, VA, USA",IEEE Access,"10 Jan 2023","2023","11","","1718","1731","The data generated by large scale scientific systems such as NASA’s Earth Observing System Data and Information System is expected to increase substantially. Consequently, applications processing these huge volumes of data suffer from lack of storage space at the execution site. This poses a critical challenge while sharing data and reproducing application executions w.r.t. specific user inputs in data-intensive applications. To address this issue, we propose IOSPReD (I/O Specialized Packaging of Reduced Datasets), a data-based debloating framework, designed to automatically track and package only necessary chunks of data (along with the application) in a container. IOSPReD uses the specific inputs provided by the user to identify the necessary data chunks. To do so, the high level user inputs are mapped down to low level data file offsets. We evaluate IOSPReD on different realistic NASA datasets to assess (i) the amount of data reduction, (ii) the reproducibility of results across multiple application executions and also (iii) the impact on performance.","2169-3536","","10.1109/ACCESS.2022.3233787","National Science Foundation (NSF)(grant numbers:ACI-1440800); Office of Naval Research (ONR)(grant numbers:N68335-17-C-0558); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10004923","Data management;data-intensive applications;data-based debloating;I/O specialization;containerization;reproducibility","Data mining;Codes;Reproducibility of results;Instruments;NASA;Toy manufacturing industry;Information management","","3","","45","CCBY","2 Jan 2023","2023","","IEEE","IEEE Journals"
"Enabling Efficient Application Monitoring in Cloud Data Centers using SDN","M. Elsaadawy; B. Kemme; M. Younis","School of Computer Science, McGill University, Montreal, Canada; School of Computer Science, McGill University, Montreal, Canada; Dept. of Computer Science and Electrical Eng, University of Maryland Baltimore County Baltimore, Maryland, USA",ICC 2020 - 2020 IEEE International Conference on Communications (ICC),"27 Jul 2020","2020","","","1","6","Nowadays, many cloud applications can be considered large complex distributed services. The increasing sophistication and complexity have made performance monitoring a major issue and a critical process for both cloud providers and cloud customers. Existing monitoring techniques instrument the applications to collect measurements and log them at the host nodes on which the application is deployed. Such an approach introduces overhead and can slow down the application. New paradigms such as Software Defined Networking (SDN) and Network Function Virtualization (NFV) show promise for moving some of the measurement collection and logging functionality into the network as a lot of information can be extracted from messages exchanged between application components. Such a methodology could enable the cloud infrastructure to provide a Monitoring as a Service to applications in a transparent manner without software instrumentation and allowing for a more flexible placement of logging functionality. In this paper, we explore mechanisms to integrate application monitoring into SDN. In particular, we analyze whether switch based message filtering is feasible and we propose a customized port sniffing approach. We discuss the implementation aspects using OVS. The results confirm that moving application monitoring to the network is indeed an attractive option.","1938-1883","978-1-7281-5089-5","10.1109/ICC40277.2020.9148826","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9148826","Software defined networking;Application monitoring;Network function virtualization","Switches;Monitoring;Tools;Cloud computing;Data mining;Web servers","","3","","20","IEEE","27 Jul 2020","7-11 June 2020","7-11 June 2020","IEEE","IEEE Conferences"
"An automated stock recommendation system from stock investment research using domain specific information extraction","T. Tapjinda; P. Vechpanich; N. Leelasupakul; N. Prompoon; C. Patanothai","Department of Computer Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Computer Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Computer Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Computer Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Computer Engineering, Chulalongkorn University, Bangkok, Thailand",2015 12th International Joint Conference on Computer Science and Software Engineering (JCSSE),"27 Aug 2015","2015","","","30","35","The rise of internet web-based application and smart phone ease access to the stock market, attracting newcomer investors. Most investors have made their decision based on information from stock investment researches published by the brokers. An automated stock recommendation system from stock investment research is introduced in this paper. The system collects several investment researches from multiple broker sites daily, converts the researches from pdf to text file, and extracts stock recommendation from the text and saves them to the database. A web application were also developed to serve the user as an interface to access those extracted information. The developed system is capable of extracting 79% of recommendations with the precision of 85%. The web application function also meets the expected both functional requirements.","","978-1-4799-1966-6","10.1109/JCSSE.2015.7219765","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7219765","stock;SET;Information extraction","Investment;Information retrieval;Accuracy;Databases;Data mining;Containers;Servers","","2","","7","IEEE","27 Aug 2015","22-24 July 2015","22-24 July 2015","IEEE","IEEE Conferences"
"ToR-SIM - A mobile malware analysis platform","A. Caranica; A. Vulpe; M. E. Parvu; D. Draghicescu; O. Fratu; T. Lupan","Speech and Dialogue Research Laboratory, University Politehnica of Bucharest, Bucharest, Romania; Telecommunications Department, University Politehnica of Bucharest, Bucharest, Romania; SC Safetech Innovations SRL, Bucharest, Romania; Speech and Dialogue Research Laboratory, University Politehnica of Bucharest, Bucharest, Romania; Telecommunications Department, University Politehnica of Bucharest, Bucharest, Romania; SC Safetech Innovations SRL, Bucharest, Romania",2019 International Conference on Speech Technology and Human-Computer Dialogue (SpeD),"21 Nov 2019","2019","","","1","8","Nowadays, it’s rare to find a person without a mobile phone. There are millions of such devices interconnected, via TCP/IP networks, such as 4G, WiFi or even WiMAX. Complementary to these personal phones, we also find a variety of wireless devices, from data collection sensors to access points, environmental panels or light control systems, that can be controlled from inside our internet-centric mobile devices. This new paradigm forms the basis of IoT-related hardware and software, a vast ecosystem that contains petabytes of data. All these new devices, that comprise the Internet of Things (IoT) category, pose new security issues to all parties, from the user itself, to networks that have to deal with suspicious traffic. As such, this paper focuses on describing the ToR-SIM project, an R&D cooperation between universities and private entities in Romania, to integrate and develop a mobile malware analysis prototype platform. This platform can be used to analyze a mobile device, in terms of security risks. The proposed system architecture is described, together with a technical overview of the prototype system.","","978-1-7281-0984-8","10.1109/SPED.2019.8906638","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8906638","security;malware;mobile;analysis","Malware;Forensics;Smart phones;Security;Data mining","","1","","31","IEEE","21 Nov 2019","10-12 Oct. 2019","10-12 Oct. 2019","IEEE","IEEE Conferences"
"Enumerating Cliques of Hypergraphs","M. Pelleau; L. Simon; J. -C. Régin","CNRS,I3S, Université Côte d'Azur, France; Bordeaux INP CNRS, Université de Bordeaux, LaBRI, France; CNRS,I3S, Université Côte d'Azur, France",2025 IEEE 37th International Conference on Tools with Artificial Intelligence (ICTAI),"15 Dec 2025","2025","","","212","221","The maximal clique enumeration (MCE) problem consists of computing and listing all maximal cliques in a finite graph. The problem is NP-complete since it subsumes the classic version of the NP-complete clique decision problem. The most well-known algorithm to solve this problem has been proposed by Bron & Kerbosch (BK). Generalizing this algorithm to hypergraphs presents significant challenges and admits multiple solutions. The primary difficulty stems from the fundamental difference in structure: while in standard graphs a vertex has a bounded number of incident edges, in hypergraphs a vertex can participate in an exponential number of hyperedges. Specifically, in a hypergraph with $n$ vertices where hyperedges have arity $r$, a single vertex may belong to up to $\binom{n-1}{r-1}$ hyperedges. This structural complexity renders the direct generalization of BK computationally inefficient. In this article, we propose three new approaches to solve the MHE problem. First, a relaxation method based on the relaxation of a hypergraph in a graph. Then, a method based on an efficiently computation of the hypercliques containing a set of vertices. Finally, a method combining the previous ones. We conducted an experimental study on a set of benchmarks, showing one or two orders of magnitude performance improvements of our approach with regards to the direct generalization of BK to hypergraphs.","2375-0197","979-8-3315-4919-0","10.1109/ICTAI66417.2025.00035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11272560","Hypergraph;Clique Enumeration;Bron & Kerbosch;Experiments","Filtering;Learning (artificial intelligence);Knowledge graphs;Probabilistic logic;Relaxation methods;Libraries;Computational efficiency;Complexity theory;Data mining;Standards","","","","30","IEEE","15 Dec 2025","3-5 Nov. 2025","3-5 Nov. 2025","IEEE","IEEE Conferences"
"Effect of Multitasking on Cognitive Functions, Performance, and Bio-Signals in First Responders","B. Larraga-García; V. Ruiz Bejerano; P. Blanco; S. Navarro; M. Álvarez; X. Oregui; I. Azpiroz; C. Chatzigeorgiou; I. García Olaizola; F. Álvarez; Á. Gutiérrez","E.T.S.I. Telecomunicación, Universidad Politécnica de Madrid, Madrid, Spain; E.T.S.I. Telecomunicación, Universidad Politécnica de Madrid, Madrid, Spain; SUMMA 112, Servicio de Urgencias Médicas, Madrid, Spain; SUMMA 112, Servicio de Urgencias Médicas, Madrid, Spain; SUMMA 112, Servicio de Urgencias Médicas, Madrid, Spain; Vicomtech Foundation, Donostia-San Sebastián, Guipúzcoa, Spain; Vicomtech Foundation, Donostia-San Sebastián, Guipúzcoa, Spain; Department of Electrical and Electronics Engineering, University of West Attica, Egaleo, Greece; Vicomtech Foundation, Donostia-San Sebastián, Guipúzcoa, Spain; E.T.S.I. Telecomunicación, Universidad Politécnica de Madrid, Madrid, Spain; E.T.S.I. Telecomunicación, Universidad Politécnica de Madrid, Madrid, Spain",IEEE Access,"5 Dec 2024","2024","12","","178104","178116","Multitasking game does not only impact different cognitive functions but also influences performance and vital signs. This affirmation is key for supporting and monitoring first responders during real-life rescue scenarios, with the aim of improving mission performance and reducing risks for both victims and rescuers. In this manuscript we have developed a game that combines a primary sustained attention task with secondary tasks that target different cognitive functions (focused attention, working memory and short-term memory). 30 first responders participated in the study, completing 18 trials with varying primary and secondary tasks complexities. The results show that concurrent multitasking significantly impacts both primary and secondary task performance, with a clear shift of attention towards the secondary task. Moreover, the performance impact varies depending on the cognitive functions involved. Physiological data show minimal changes during multitasking, but significant changes are observed when task performance is not properly managed. Therefore, the study provides valuable insights into the complexities of multitasking, highlighting the importance of considering both cognitive functions and objective physiological measures for a comprehensive understanding of cognitive demands in real-world operations.","2169-3536","","10.1109/ACCESS.2024.3508066","European Commission within the context of the Project first RESponder-Centered support toolkit for operating in adverse and infrastrUcture-less EnviRonments (RESCUER); EU H2020(grant numbers:101021836); Huawei-Universidad Politécnica de Madrid (UPM) Chair through the 5G for a Digital and Sustainable Society Call; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10770115","Attention;working memory;short-term memory;multitasking;first-responders","Multitasking;Games;Containers;Databases;Monitoring;Biomedical monitoring;Object recognition;Magnetic resonance imaging;Heart rate;Data mining","","","","68","CCBY","27 Nov 2024","2024","","IEEE","IEEE Journals"
